community_area,# of Misconducts,# of Suspensions (includes ISS and OSS),# of Students Expelled,# of Police Notifications,num_crimes
1,8030,1882,20,165,38492.0
2,9418,3852,8,434,34501.0
3,8541,3247,1,140,36184.0
4,6711,3918,4,725,19356.0
5,6767,1900,0,296,13705.0
6,25744,8269,20,635,57058.0
7,7902,2669,4,438,39988.0
8,7335,2251,0,72,103589.0
9,457,135,0,0,2731.0
10,30074,4737,5,768,12093.0
11,2181,1121,1,23,10900.0
12,511,150,0,8,5107.0
13,10447,2121,6,394,8878.0
14,12439,6750,14,422,23390.0
15,22015,12102,16,763,31921.0
16,11785,6392,33,1608,27964.0
17,13067,4474,2,97,15742.0
18,1603,663,0,23,5967.0
19,62594,23036,13,561,45461.0
20,11196,4219,2,613,15125.0
21,3423,1237,0,177,21949.0
22,14400,4221,0,241,47896.0
23,70527,33105,23,587,79050.0
24,37399,11819,9,905,72384.0
25,49406,24179,21,1320,155983.0
26,4081,1741,8,144,55469.0
27,38568,20436,27,1251,48400.0
28,10401,3197,1,248,85128.0
29,34359,20415,14,669,84125.0
30,26932,12085,7,492,43536.0
31,6959,3836,4,265,25572.0
32,1479,712,0,24,83001.0
33,6061,1821,0,52,19167.0
34,3597,889,1,102,10656.0
35,45004,32042,44,476,26072.0
36,610,63,0,2,6727.0
37,1360,417,1,67,8325.0
38,11084,6195,16,613,33478.0
39,21267,10425,6,162,14773.0
40,5184,2887,2,145,26047.0
41,7612,2374,0,77,17236.0
42,17964,13000,5,397,36487.0
43,11621,5271,10,325,87398.0
44,12398,6685,6,644,62775.0
45,4062,2638,27,1668,13196.0
46,26126,20528,10,415,45855.0
47,636,355,2,19,3830.0
48,3987,1042,0,34,14351.0
49,29623,17331,48,935,67200.0
50,8854,3201,8,601,10964.0
51,3090,880,0,69,18602.0
52,64213,10467,17,728,12068.0
53,9695,2708,18,113,40375.0
54,7022,2996,10,292,13008.0
55,2531,442,0,53,6017.0
56,5065,2664,5,409,19094.0
57,19131,7086,6,863,9046.0
58,11848,4225,9,305,23677.0
59,2442,562,0,17,9640.0
60,3086,925,9,82,15695.0
61,23594,10496,13,1024,45537.0
62,5130,1013,3,39,9745.0
63,16368,6127,9,306,22216.0
64,1956,915,0,70,9689.0
65,14836,8050,32,569,18155.0
66,16546,7055,9,339,57459.0
67,9551,5844,13,317,67581.0
68,20126,8822,32,789,62025.0
69,19532,7663,15,498,65411.0
70,19556,8076,43,332,23536.0
71,8671,5226,4,241,73651.0
72,2685,1086,5,35,9264.0
73,16694,11595,14,990,31391.0
74,2105,1254,1,31,5748.0
75,16710,7696,38,721,20186.0
76,405,166,0,8,17251.0
77,18238,7907,14,975,25497.0
